eb_n0_db,bit_errors,total_bits,ber,zero_error_upper_bound_95
-5,213167,1000000,0.213167,
-4,186488,1000000,0.186488,
-3,158882,1000000,0.158882,
-2,130706,1000000,0.130706,
-1,103574,1000000,0.103574,
0,78490,1000000,0.07849,
1,56666,1000000,0.056666,
2,37183,1000000,0.037183,
3,23027,1000000,0.023027,
4,12545,1000000,0.012545,
5,6096,1000000,0.006096,
6,2319,1000000,0.002319,
7,807,1000000,0.000807,
8,199,1000000,0.000199,
9,34,1000000,3.4e-05,
10,4,1000000,4e-06,
11,0,1000000,0.0,3e-06
12,0,1000000,0.0,3e-06
13,0,1000000,0.0,3e-06
14,0,1000000,0.0,3e-06
15,0,1000000,0.0,3e-06
